type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
CASH_OUT,177585.9,C1974240193,25115.0,0.0,C572986301,266286.98,443872.89,0,0
CASH_IN,295468.97,C621714984,6449944.27,6745413.24,C1698287046,351453.59,55984.62,0,0
CASH_IN,212555.73,C2109613102,4543422.46,4755978.2,C1222590577,10013669.1,9801113.37,0,0
CASH_OUT,1226.94,C1321529474,0.0,0.0,C98413973,280914.86,282141.8,0,0
CASH_OUT,61152.99,C2014741058,0.0,0.0,C549981569,275058.27,336211.26,0,0
CASH_IN,145464.8,C109408278,3974675.12,4120139.93,C823771840,1030766.53,885301.72,0,0
CASH_OUT,160099.8,C1078147777,51165.0,0.0,C229507342,2161974.73,2322074.53,0,0
PAYMENT,3943.32,C471502107,604.0,0.0,M1970661197,0.0,0.0,0,0
CASH_IN,231246.62,C451923246,7831630.79,8062877.41,C1341801275,1447684.7,1216438.08,0,0
CASH_IN,82481.59,C1679462625,12553.0,95034.59,C412826460,2045050.71,1962569.11,0,0
TRANSFER,70909.62,C1077824757,26660.0,0.0,C1384881245,40207.84,111117.46,0,0
TRANSFER,921833.43,C907763561,0.0,0.0,C91463800,7062124.92,7983958.34,0,0
CASH_OUT,68290.93,C216536756,23481.0,0.0,C1321498251,522766.57,591057.5,0,0
TRANSFER,614326.19,C1031204434,0.0,0.0,C1473516528,2628580.43,3242906.61,0,0
CASH_OUT,287575.81,C867519793,0.0,0.0,C958671211,1303140.28,1590716.09,0,0
TRANSFER,302963.36,C1807264461,0.0,0.0,C1212606882,1175795.37,1478758.74,0,0
PAYMENT,3388.18,C830596340,9061.0,5672.82,M249940214,0.0,0.0,0,0
CASH_IN,679284.51,C689299019,23813258.13,24492542.65,C1336721627,704504.56,25220.05,0,0
CASH_OUT,214890.85,C1046464298,0.0,0.0,C1090096381,555496.02,770386.87,0,0
PAYMENT,12339.03,C2133536915,0.0,0.0,M582667344,0.0,0.0,0,0
CASH_IN,79497.74,C1646366307,1917872.02,1997369.76,C1591771358,5107329.38,5027831.63,0,0
CASH_OUT,180605.57,C1919625177,0.0,0.0,C414333916,1640749.9,2025029.08,0,0
CASH_OUT,184766.65,C356513468,21536.0,0.0,C598848911,0.0,184766.65,0,0
