Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,sadness,feelings,topic,age
60867,between the buried and me,selkies: the endless obsession,2005,jazz,slip comfortable proceed space innocent individuals concern happiness progress easy social situation unfortunate turn events collapse idea childish think judgement social status compare market change exploit idea innocence goddamn television corrupt separate group difference comfort think head years enjoy life wonder imagination tear tear time hate kill fight conquer human life best televise event learn live breath finally sweet relief speak obsession endless,63,0.001879699,0.2681927422829094,0.5539028083845653,0.001879699,0.001879699,0.001879699,0.038067071,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.111641889,0.001879699,world/life,0.2142857142857142
12087,cake,mr. mastodon farm,1994,pop,bird fall window ledge flap wing second bird fall window ledge flap wing second dead weight drop like stone small loaves bread past window time walk room peer lastsecond curve horizontal flight bird fall ledge like stone construct mind make fall flight symbolic entire existence important lastsecond curve flight life fall ascent mastodon farm mastodon farm cut swatches material mastodon farm mastodon farm cut swatches material,66,0.001754386,0.3079203699300975,0.001754386,0.085733309,0.001754386,0.001754386,0.001754386,0.001754386,0.001754386,0.001754386,0.001754386,0.362545072,0.001754386,0.1607306640534221,0.001754386,violence,0.3714285714285714
42392,the pretty things,old man going,1968,blues,go hopscotch life lead grave face line street save black house build soon disappear corporation year go traffic thin drive slowly friend wipe streets fill bouquets cloudy soon forget field go,31,0.002105263,0.3756083358915321,0.1728387199678059,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.3437211406919205,0.002105263,0.002105263,0.002105263,0.076252855,violence,0.7428571428571429
8004,the j. geils band,centerfold,1981,pop,come walk talk come complete homeroom homeroom pull seat pure like snowflakes stain memory cause pain years lookin girly magazine homeroom page inbetween blood run cold memory sell centerfold centerfold blood run cold memory sell centerfold slip note desk thinkin dress turn away catch shakin shoe flash babyblues hold pass close soft fuzzy sweaters magical touch negligee blood run cold memory sell centerfold centerfold blood run cold memory sell centerfold okay understand nevernever land issue go clothe drive motel room private rip page mind strip guess gotta blood run cold memory sell centerfold centerfold blood run cold memory sell centerfold alright alright blood run cold memory sell centerfold centerfold blood run cold memory sell centerfold centerfold,116,0.000666223,0.3995795596904043,0.000666223,0.000666223,0.000666223,0.000666223,0.000666223,0.000666223,0.080203325,0.000666223,0.1518550825201699,0.000666223,0.000666223,0.2316901160336852,0.000666223,violence,0.5571428571428572
18084,august alsina,i luv this shit,2013,pop,shit shit okay shit shit shit shit okay shit shit clock fade kush feel amaze voicemail phone breezy feel xrated tell nigga hurt swerve walk bedroom certain stay ciroc stay take shots girl maybe cause bitch nigga nigga snitch nigga real nigga real nigga tryna chill cause drink talk like high trip like young live like like goddammit goddammit drink cause shit smoke cause shit grind cause shit tell fuck cause shit roll hood roll good lips roll damn ride good roll sleep roll roll floor laugh cause look surprise girl block ciroc circle block maybe cause bitch nigga nigga snitch nigga real nigga real nigga try chill cause drink talk like high trip like young live like like goddammit goddammit drink cause shit smoke cause shit grind cause shit tell fuck cause shit know know somethin refuse believe true prove proof dude like understand girls understand girls lookin real nigga like wrong place wrong ways care change cause want okay want okay say nothin nothin nothin nothin nothin nothin bitch goddammit goddammit drink cause shit smoke cause shit grind cause shit tell fuck cause shit,186,0.000324886,0.000324886,0.017138176,0.000324886,0.000324886,0.000324886,0.000324886,0.1430140708900488,0.7359967410473969,0.000324886,0.000324886,0.000324886,0.000324886,0.000324886,0.01599583,obscene,0.1
27692,david allan coe,gotta serve somebody (with lacy j. dalton),1983,country,ambassador england like gamble like dance heavyweight champion world socialite long string pearl gonna serve somebody serve somebody serve somebody serve somebody devil lord gonna serve somebody roll prance stage plenty drug command women cage businessman high degree thief doctor chief gonna serve somebody serve somebody serve somebody yeah yeah serve somebody devil lord gonna serve somebody state trooper young turk head great network poor blind chain live country gonna serve somebody serve somebody serve somebody serve somebody devil lord gonna serve somebody maybe construction worker work home live mansion live dome gun tank somebody landlord bank gonna serve somebody serve somebody yeah serve somebody serve somebody devil lord gonna serve somebody care gonna serve somebody serve somebody serve somebody serve somebody devil lord gonna serve somebody roll prance stage plenty drug command women cage businessman high degree thief doctor chief gonna serve somebody serve somebody serve somebody serve somebody devil lord gonna serve somebody devil lord gonna serve somebody serve somebody gonna serve somebody serve somebody serve somebody serve somebody serve somebody serve somebody devil lord serve somebody serve somebody serve somebody serve somebody serve somebody serve somebody somebody somebody devil lord,193,0.000469925,0.1280787497114782,0.027474597,0.000469925,0.03729843,0.1242678418270061,0.000469925,0.011258048,0.000469925,0.000469925,0.029243197,0.025850709,0.034500571,0.000469925,0.4319207155765686,feelings,0.5285714285714286
29531,george strait,"angel, angelina",1989,country,heaven wonder morning find pray night find wish stay right arm sweetest sweet lips touch finger tip bluest blue sparkle eye like hand glove know size special ways need stay right arm,32,0.002105263,0.002105263,0.1135946118344964,0.2588429151199644,0.002105263,0.002105263,0.4238042864253812,0.002105263,0.002105263,0.05577547,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,romantic,0.4428571428571428
41066,bo diddley,"hong kong, mississippi",1961,blues,dearest darling dearest darling dearest darling know lord create pick rest know love best dearest darling dearest darling dearest darling hand hand heart trill true go care like hearts dearest darling dearest darling dearest darling heaven hole pull dearest dearest dearest heaven gonna write heavenly stair aren turn know baby know dearest dearest dearest sweet baby sweet baby,58,0.085368763,0.001349528,0.001349528,0.001349528,0.001349528,0.030853717,0.5062379253514151,0.1842104404841437,0.001349528,0.001349528,0.1478460661567233,0.001349528,0.001349528,0.001349528,0.001349528,romantic,0.8428571428571429
75611,alice in chains,i can't remember,1990,rock,turn excuse attitude eat today eye turn grey remember remember bring feel pain eye blame remember remember remember identity visions mind scream mama mama angry brain infancy knock hate breathe throat steal energy take loss bleed alive,37,0.001949318,0.4045801484178409,0.2817685837543393,0.001949318,0.001949318,0.079272466,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.2051390343752344,0.001949318,violence,0.4285714285714285
20999,johnny cash,"cold, cold heart",1960,country,try hard dear dream afraid thing evil scheme memory lonesome past keep apart free doubtful mind melt cold cold heart time heart blue heart pay things anger unkind word say teardrops start yeah time believe belong know heart shackle memory learn care drift apart,44,0.001385042,0.046049838,0.1377576066837779,0.001385042,0.028719049,0.001385042,0.025015365,0.1516155077149764,0.001385042,0.090313627,0.001385042,0.001385042,0.029588313,0.4757052363043723,0.001385042,sadness,0.8571428571428571
